"id","name","lastname","document","number","qualification","creditLine","cardExpiration","cardNumber","cardBrand","cardType","disbursementAmount","disbursementDate","currency","interestRate","hasInsurance","status","product","policyNumber","paymentAmount","paymentFrequency","paymentCurrency","store","province"
"8302bae3-2405-494e-9c63-7a6979412641","Wandis","Dudbridge","DNI","43354646","INVESTIGADO","83705703","25506290","5048372753701230","50634737","52684374","$40181.64","19/08/2021","USD","0.7","false","true","SEGURO_PROTECCION_BLINDAJE_PLUS_TARJETAS","9403","$976.62","PAGO_UNICO","PEN","Opexa Therapeutics, Inc.","LIMA"
"e7483cee-2f17-40ce-beaa-bed0ea80f73b","Gladi","Billam","CE","64975534","INVESTIGADO","95617577","27671428","5048374171041660","49733152","39781955","$37492.13","15/03/2021","USD","0.5","true","false","PROTECCION_TARJETA_IBK","6805","$919.13","ANUAL","USD","Jagged Peak Energy Inc.","PUNO"
"3d2fadd9-ec06-41f8-b9d9-ba99b9340550","Aaron","Gyorgy","CE","49358574","APROBADO","94229849","28377410","5048376507995089","17342390","33780871","$20818.79","20/03/2021","PEN","0.57","false","false","SEGURO_TARJETAS_360","6063","$629.43","PAGO_UNICO","USD","McCormick & Company, Incorporated","UCAYALI"
"1950c364-0677-4857-aa7e-3c19e81be631","Myrta","Cartan","CE","44905067","APROBADO","20040062","11608255","5108752698937998","14469504","35511488","$15091.62","10/11/2022","USD","0.32","false","false","PROTECCION_TARJETA_IBK","8228","$281.36","MENSUAL","PEN","Yulong Eco-Materials Limited","CUZCO"
"e4d434b0-b0aa-4bf1-bc43-affc82743866","Benedick","Marousek","DNI","50898959","APROBADO","10787802","13126655","5048377928464143","88176329","43671387","$42728.60","13/07/2022","PEN","0.2","true","false","PROTECCION_TARJETA_IBK","1164","$471.10","TRIMESTRAL","PEN","Frontline Ltd.","AREQUIPA"
"75175f04-71dd-47bf-ab10-709387501a84","Amabel","Raubenheimers","CE","89022803","APROBADO","31598813","42582727","5108757402952670","62636953","59321787","$15308.79","23/07/2022","USD","0.25","true","true","SEGURO_TARJETAS_360","2269","$667.11","ANUAL","PEN","MGE Energy Inc.","AYACUCHO"
"5734e5f3-4deb-437f-8623-17ad55b4280b","Dean","Turnbull","CE","21500728","INVESTIGADO","24840294","83029355","5108752560244499","99289424","83063956","$5832.52","01/09/2022","USD","0.74","true","true","SEGURO_TARJETAS_360","8522","$593.18","ANUAL","PEN","Avadel Pharmaceuticals plc","PUNO"
"de716466-4133-4e70-9931-80652b43cd8e","Kate","Giacoboni","CE","25716714","APROBADO","94525526","93246890","5048374673635134","28074172","18000949","$22983.09","01/02/2021","USD","0.8","true","false","SEGURO_PROTECCION_BLINDAJE_PLUS_TARJETAS","9704","$708.22","QUINCENAL","USD","Shineco, Inc.","PIURA"
"d56a9722-5984-4787-95cb-0e95a102a2f9","Dolorita","Brea","DNI","13399217","INVESTIGADO","65296605","78366809","5048379816834320","62466184","22817981","$55819.72","29/10/2022","USD","0.15","false","false","SEGURO_TARJETAS_360","8045","$632.97","TRIMESTRAL","USD","Nuveen S&P 500 Buy-Write Income Fund","TUMBES"
"c886ffd8-e0b7-441f-82e3-f2131a3471e5","Rodrigo","Bowfin","DNI","45577624","RECHAZADO","35660078","89077837","5108758217821753","18541011","19602276","$69109.29","19/04/2023","USD","0.38","false","true","SEGURO_TARJETAS_360","3724","$590.52","TRIMESTRAL","PEN","Tri Continental Corporation","TUMBES"
"9a2ff2fb-228f-4e7c-b378-c2d17f4c239b","Ursola","Penella","CE","84070296","INVESTIGADO","71920060","25566621","5108750482542180","88989723","82823214","$8302.78","07/01/2020","PEN","0.55","true","true","SEGURO_TARJETAS_360","6422","$811.37","QUINCENAL","PEN","CBS Corporation","PUNO"
"5d6c5983-ce64-4950-bfd6-ab436d832619","Carmelina","Merton","CE","84858594","RECHAZADO","74487390","37823735","5048371946082003","14862990","13307530","$82582.58","28/01/2023","PEN","0.68","false","false","PROTECCION_TARJETA_IBK","9539","$602.10","MENSUAL","PEN","Royal Bank Of Canada","AREQUIPA"
"1d46feac-cfb9-453d-a445-17de0e6adde8","Lexis","Mompesson","DNI","20158181","APROBADO","53079645","17491768","5108751830666424","91435040","14558782","$93939.82","26/01/2020","PEN","0.32","false","false","SEGURO_PROTECCION_BLINDAJE_PLUS_TARJETAS","9695","$194.27","TRIMESTRAL","USD","PowerShares Nasdaq Internet Portfolio","PIURA"
"e68f6f2a-409a-49c1-8d2e-398dee64a7ff","Ethelred","Waleran","DNI","60956198","APROBADO","54947294","13150053","5048377233004550","91325415","92987022","$60704.64","14/12/2022","PEN","0.35","true","true","PROTECCION_TARJETA_IBK","3163","$901.74","TRIMESTRAL","USD","CombiMatrix Corporation","PUNO"
"56b0177e-bb79-47db-8db3-95e17d321a70","Sile","Brazelton","DNI","39726713","INVESTIGADO","12549337","39705384","5108757891837986","38571259","89945318","$56681.62","10/03/2021","PEN","0.58","false","true","PROTECCION_TARJETA_IBK","4113","$902.10","PAGO_UNICO","USD","Alaska Communications Systems Group, Inc.","LIMA"
"e09ea785-a089-4740-8790-a7b84030b1c3","Georges","Rogeon","CE","61974790","RECHAZADO","81597129","26596871","5108753983712096","79581771","94680847","$37114.87","04/05/2023","PEN","0.21","true","true","PROTECCION_TARJETA_IBK","8279","$281.91","ANUAL","USD","Kandi Technologies Group, Inc.","IQUITOS"
"be928a1a-8c21-4b2b-b884-d7e852572def","Starr","Loudwell","DNI","17609828","RECHAZADO","64959929","27490844","5108750035351972","86715563","13021088","$10015.31","28/06/2022","PEN","0.38","false","false","SEGURO_PROTECCION_BLINDAJE_PLUS_TARJETAS","8264","$790.67","ANUAL","PEN","NextEra Energy Partners, LP","AYACUCHO"
"92c51a9a-d12d-4609-a33f-ada9a1e73688","Mozelle","La Croce","DNI","85134329","RECHAZADO","83289720","16315984","5048379949038799","22448363","37941949","$47575.77","06/06/2023","PEN","0.51","true","true","SEGURO_TARJETAS_360","6115","$237.77","ANUAL","USD","WisdomTree United Kingdom Hedged Equity Fund","IQUITOS"
